ds,yhat,yhat_lower,yhat_upper
2010-02-05,47066773.420111224,42625625.91476862,51586714.33841221
2010-02-06,47552120.99954038,42814978.6513435,52408923.41178811
2010-02-07,47994837.55530526,42834327.00671074,52560839.15284221
2010-02-08,48348343.49425232,43820360.11160293,53370970.36327118
2010-02-09,48632840.66449553,44367706.846951775,53247681.07221247
2010-02-10,48848500.737522356,43790619.370525025,53612705.83073934
2010-02-11,48997009.89766937,44193188.55950177,53598034.14049696
2010-02-12,49058286.890645616,44273971.64804497,53888766.705168486
2010-02-13,49079148.142460294,44225990.68308028,53586679.90971198
2010-02-14,49067820.39224279,44764355.39438519,53652347.18683872
2010-02-15,48987012.211393245,44490771.1762013,53625229.13372379
2010-02-16,48865131.008947395,43964124.84515803,53576882.55896589
2010-02-17,48709323.86131882,43496585.95529701,53334786.00055387
2010-02-18,48526912.57037259,43187864.402536236,53381094.90681371
2010-02-19,48302041.67370994,43662186.533300415,53104818.317468524
2010-02-20,48084313.67492491,43250423.90284951,52924496.03663423
2010-02-21,47883311.38628835,43427772.836489536,52807807.08612332
2010-02-22,47661717.13676979,43093711.4984016,52640217.8140198
2010-02-23,47446612.82518003,42600195.56885499,52125312.04431299
2010-02-24,47242635.63069339,42471121.28762801,51806319.63046327
2010-02-25,47053555.47130348,42016835.77536403,51414573.89393751
2010-02-26,46859087.97155164,41972875.20879334,51227401.13428428
2010-02-27,46703711.74973314,42123941.76547994,51537948.38655072
2010-02-28,46591384.12969126,42133336.6543285,51116681.84828001
2010-03-01,46478859.084591836,41780755.83123037,51342479.3682809
2010-03-02,46387185.46167594,41352103.2363818,51565976.80961132
2010-03-03,46315054.55347022,41506910.518648416,51110323.38481745
2010-03-04,46260557.70414166,41326095.336259134,50862600.92395833
2010-03-05,46198162.80338141,41670459.90902829,50635000.9557639
2010-03-06,46167674.19304014,41523465.705043465,51030531.109693885
2010-03-07,46169066.541216716,41257589.70111733,50744851.51188745
2010-03-08,46155893.76292569,41177391.01531266,50606458.59232274
2010-03-09,46146849.19117063,41407940.69471869,50671396.89626192
2010-03-10,46139145.1381795,41200121.73606406,50956401.788222484
2010-03-11,46130272.53519237,41459946.68705903,50574684.71306103
2010-03-12,46094950.40931289,41022137.02168887,50859364.146449745
2010-03-13,46074031.48872925,41265195.452234596,50996412.212786905
2010-03-14,46069257.04638869,41360355.0406703,50730191.2127889
2010-03-15,46036565.31282528,41364494.519909255,50765891.73825397
2010-03-16,45997533.49867116,41394750.15216729,50808154.80024614
2010-03-17,45952625.85964144,41601642.35074213,50878936.130755365
2010-03-18,45902813.10426376,41192506.3696437,50934690.736577
2010-03-19,45826377.686643854,40933403.17833594,50597560.44491075
2010-03-20,45767676.082628675,41246177.14146298,50536270.768534966
2010-03-21,45731755.84244537,41268870.429810956,50376835.08033544
2010-03-22,45677536.16828608,40977279.44311911,50508057.27114043
2010-03-23,45629136.07873825,41048772.46025362,50414204.93843608
2010-03-24,45589026.10070745,41191330.544721924,50142675.11666936
2010-03-25,45559571.68348452,40738778.78446803,50381456.93354775
2010-03-26,45519785.078219354,40580622.09518193,50417224.0536214
2010-03-27,45514058.230893835,40814457.08298877,50127369.76044454
2010-03-28,45546775.14627561,40630453.92015989,50101660.04323163
2010-03-29,45575512.34043792,40751306.86048338,50286873.20742253
2010-03-30,45622410.53215764,40818696.08632197,50787117.22420654
2010-03-31,45687391.85965948,41097489.17260076,50477181.14788404
2010-04-01,45769788.48089298,40778598.81809719,50262688.64775307
2010-04-02,45845196.36236207,40809578.73647571,50645196.41003904
2010-04-03,45954323.36252103,41218018.484118,50732553.348444544
2010-04-04,46097726.23357268,41506706.1917021,50374786.458562754
2010-04-05,46229141.05442505,41331994.145190775,50636872.687332824
2010-04-06,46366986.018045716,41384745.94815526,51051222.38164596
2010-04-07,46507706.58663879,41795897.264065705,51101319.637694746
2010-04-08,46647524.78011476,42093102.79769251,51472524.38101044
2010-04-09,46759402.522815965,42222709.56778179,51508917.9958471
2010-04-10,46881984.66163683,42038785.94933516,51572935.644342236
2010-04-11,47014413.26024533,42127536.06064481,51919008.32361196
2010-04-12,47109715.23218794,42483378.8290755,52020279.54595175
2010-04-13,47186340.408319935,42191893.66271011,51954629.40439527
2010-04-14,47241518.95479431,42139205.39728542,51800480.51879384
2010-04-15,47272999.47645675,42297214.013018355,52261225.0016095
2010-04-16,47255978.068928525,42140099.8535493,51772274.12117096
2010-04-17,47231984.96893588,42597048.56516331,52443823.938844696
2010-04-18,47203622.12492685,42501822.89142829,51778626.40835775
2010-04-19,47127856.08995799,42171870.01963964,52060304.94368625
2010-04-20,47027446.21827017,42351706.37675728,51750945.56934928
2010-04-21,46904180.423370734,42262470.151795104,52117307.29100851
2010-04-22,46760483.52517534,41833540.426731184,51542620.65169087
2010-04-23,46576212.37881343,41804307.90003554,51180227.71809273
2010-04-24,46397408.47958534,41620483.12940659,51204230.35092435
2010-04-25,46230905.40297356,41474311.70212353,50785464.99451612
2010-04-26,46037499.38764413,41428112.37152044,50578461.98108115
2010-04-27,45843266.69998324,41164234.36878752,50560475.119648665
2010-04-28,45652703.33649298,40609712.52134203,50262994.22063582
2010-04-29,45470254.93329928,40516521.37020635,49979882.77343725
2010-04-30,45277053.37651457,40607327.03819199,49893968.181325644
2010-05-01,45119632.50162727,40491803.10744977,49977077.79968963
2010-05-02,45004521.27902343,40315688.62473983,49818283.62838282
2010-05-03,44891423.14834037,40635923.39999514,49826350.307153136
2010-05-04,44804564.805467784,39854471.76915823,49421746.07656165
2010-05-05,44745888.98103926,39835815.93833407,49423927.47524837
2010-05-06,44716657.4351197,40135304.47915489,49407384.28268381
2010-05-07,44694278.407928385,39726945.45920164,49412065.91979201
2010-05-08,44721128.15829372,39942774.60404903,49401813.79115478
2010-05-09,44799261.79245002,40069664.20477659,49734751.277741246
2010-05-10,44883718.519413,40005380.22154122,49591872.401865214
2010-05-11,44994000.88423098,40207569.12324899,49803607.958133586
2010-05-12,45127398.66091421,40560597.14301456,49925452.54409389
2010-05-13,45280719.76350044,40664359.66130667,50345156.77953201
2010-05-14,45427238.691393584,40692299.65552425,50483750.789103046
2010-05-15,45605628.635203525,40909308.39498519,50389845.18138155
