ds,yhat,yhat_lower,yhat_upper
2010-02-05,47066773.420111224,42581696.17914194,52279031.19564971
2010-02-06,47552120.99954038,42914095.96186923,52584858.64468951
2010-02-07,47994837.55530526,42932093.902592495,52757531.46690194
2010-02-08,48348343.49425232,43096846.811228365,52901006.39976213
2010-02-09,48632840.66449553,43832290.15534769,53300716.37651082
2010-02-10,48848500.737522356,43959773.96437854,53716933.629855625
2010-02-11,48997009.89766937,44430176.98755554,54123703.809565194
2010-02-12,49058286.890645616,44471311.75079149,53894458.76604467
2010-02-13,49079148.142460294,44126757.2167636,53393797.87674792
2010-02-14,49067820.39224279,44562998.34248415,54093295.8136066
2010-02-15,48987012.211393245,44245445.893798605,53861499.27886733
2010-02-16,48865131.008947395,44229330.662920825,53954007.91920534
2010-02-17,48709323.86131882,43775034.73446457,53338514.05531059
2010-02-18,48526912.57037259,43788856.22568898,53178396.57555545
2010-02-19,48302041.67370994,43578603.22742987,52937656.28456535
2010-02-20,48084313.67492491,43078731.79302658,53015517.27268321
2010-02-21,47883311.38628835,43002942.04707203,52535452.552246906
2010-02-22,47661717.13676979,43054178.78305686,52568669.92734984
2010-02-23,47446612.82518003,42707191.44626054,51921142.53418539
2010-02-24,47242635.63069339,42616472.90584042,51869555.19020586
2010-02-25,47053555.47130348,42421321.46131547,52179928.50396879
2010-02-26,46859087.97155164,42287213.471467875,51313153.31683594
2010-02-27,46703711.74973314,41846280.52058357,51720577.71897144
2010-02-28,46591384.12969126,42001351.19966334,51398083.74407844
2010-03-01,46478859.084591836,41645766.58021281,51360827.8188906
2010-03-02,46387185.46167594,41441975.776021935,51528503.332284816
2010-03-03,46315054.55347022,41476707.12228636,50902413.36282435
2010-03-04,46260557.70414166,41222739.66026036,51037655.61604919
2010-03-05,46198162.80338141,41459208.27062299,50969319.39029004
2010-03-06,46167674.19304014,41703263.99558516,51205007.46962586
2010-03-07,46169066.541216716,41140220.701767005,50981221.492286704
2010-03-08,46155893.76292569,41475140.31357173,50823562.35489058
2010-03-09,46146849.19117063,41236264.718802206,50839957.14769155
2010-03-10,46139145.1381795,41636977.791009665,50975216.57538287
2010-03-11,46130272.53519237,41344845.36997589,50945935.34593982
2010-03-12,46094950.40931289,41480938.103622094,50789711.60455148
2010-03-13,46074031.48872925,41442880.26962311,50913703.409728
2010-03-14,46069257.04638869,41336351.66106927,50813398.72888404
2010-03-15,46036565.31282528,40918010.527691856,50552702.359350696
2010-03-16,45997533.49867116,41296663.422118776,50574876.822196886
2010-03-17,45952625.85964144,41168177.07983087,51050118.528988324
2010-03-18,45902813.10426376,41233589.1762012,50521477.71588447
2010-03-19,45826377.686643854,41328712.49872531,50110879.07892321
2010-03-20,45767676.082628675,41413245.6327602,50328810.98323245
2010-03-21,45731755.84244537,40828358.52460128,50267764.92148839
2010-03-22,45677536.16828608,41248841.02150939,50331900.292147115
2010-03-23,45629136.07873825,41299122.91318198,50498606.23852095
2010-03-24,45589026.10070745,40687845.95835815,50383298.146283194
2010-03-25,45559571.68348452,40906620.321524315,50172046.06761828
2010-03-26,45519785.078219354,40518873.47496055,50228508.11586739
2010-03-27,45514058.230893835,40666260.52300678,50137473.23557878
2010-03-28,45546775.14627561,40859117.02064256,50309624.38794514
2010-03-29,45575512.34043792,40913664.18875672,50149048.17432516
2010-03-30,45622410.53215764,40809686.59491097,50204489.57792981
2010-03-31,45687391.85965948,40763915.17282347,50262081.85476336
2010-04-01,45769788.48089298,41037335.41297897,50483805.59253762
2010-04-02,45845196.36236207,40965384.214709215,50442490.531556174
2010-04-03,45954323.36252103,41171054.07991864,50267278.69591646
2010-04-04,46097726.23357268,41365762.814312525,50799931.564727336
2010-04-05,46229141.05442505,41677664.72563866,51073641.93356663
2010-04-06,46366986.018045716,41530893.52111581,50977272.92092783
2010-04-07,46507706.58663879,42150783.569563046,51652293.03917459
2010-04-08,46647524.78011476,42163751.9624148,51313567.679239795
2010-04-09,46759402.522815965,42340404.24262877,51739740.075564444
2010-04-10,46881984.66163683,42106379.84404257,51615990.520043984
2010-04-11,47014413.26024533,41893477.31307333,51573586.02851339
2010-04-12,47109715.23218794,42222201.941215985,51402235.10581619
2010-04-13,47186340.408319935,42570717.8104459,52234240.94400789
2010-04-14,47241518.95479431,42583761.56718268,51757476.69068458
2010-04-15,47272999.47645675,42689040.42683873,52235919.55591389
2010-04-16,47255978.068928525,42328328.81612802,52113028.7179615
2010-04-17,47231984.96893588,42409562.53483668,51973968.86931044
2010-04-18,47203622.12492685,42387460.70783102,52258003.37889723
