ds,yhat,yhat_lower,yhat_upper
2010-02-05,47181295.66292215,42765870.1747644,51826288.906940766
2010-02-06,47905218.129260145,43457463.98746042,52382550.86760612
2010-02-07,48473632.37563268,44019588.15990978,53138890.28828053
2010-02-08,48799871.72331499,44455212.13142656,53376577.39708894
2010-02-09,48889118.19242092,44671810.43674603,53387806.426439986
2010-02-10,48785914.84030301,43907567.13246888,53463615.42161291
2010-02-11,48602622.8792897,44398440.63573149,52668617.17484141
2010-02-12,48431696.99648823,43577952.8855602,52962165.62553519
2010-02-13,48360318.037189394,43387698.34604503,53298012.110427395
2010-02-14,48355239.32048061,43769278.49874413,52811291.751885764
2010-02-15,48284833.973895594,43495759.842921786,53372260.80392526
2010-02-16,48139159.02150888,43772825.061141916,52757227.46557909
2010-02-17,47953123.943924956,43379384.895665646,52575888.27698086
2010-02-18,47801793.28860842,42813730.68290238,52840429.93143151
2010-02-19,47719883.09725503,42859039.7726028,52449999.2486595
2010-02-20,47761645.46317021,43334582.26928866,52329007.359686956
2010-02-21,47917059.83694206,43404467.5935073,52797714.01880244
2010-02-22,48103171.59578345,43233927.82531298,52521389.450908385
2010-02-23,48303021.828676164,43291943.78841956,52790905.17536346
2010-02-24,48428081.33226233,43934598.95555428,53178787.76717314
2010-02-25,48340711.108557284,43913944.039752655,53036813.66433552
2010-02-26,47889621.54452976,43549806.490899004,52953060.79314138
2010-02-27,47098942.57449904,42558231.5177431,51988095.53572012
2010-02-28,46134472.02415031,41561577.6493976,50949492.9086634
2010-03-01,45229762.30978133,40660571.60548398,49905414.74854222
2010-03-02,44690693.70409205,40183037.90752419,49507600.379710555
2010-03-03,44640345.396092005,39932608.5693178,49457993.90106312
2010-03-04,44995118.17161357,40178205.82882475,49913121.60971266
2010-03-05,45517441.49490679,41331651.14772456,50164018.77728906
2010-03-06,46041878.426066086,41750846.277086236,51118091.25802123
2010-03-07,46472138.05852894,41817588.77552654,50957206.27461746
2010-03-08,46744366.25721149,42012300.15764165,51594185.51742567
2010-03-09,46900501.562295586,42067761.587321974,51303384.48805459
2010-03-10,46925666.16474296,42140966.26220976,51256240.56302969
